City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
296,Bambous Virieux,MU,77.0,few clouds,-20.3428,57.7575,Casa Tia Villa
299,Guerrero Negro,MX,83.08,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
303,Georgetown,MY,80.01,few clouds,5.4112,100.3354,Cititel Penang
305,Yanam,IN,74.05,clear sky,16.7333,82.2167,The Regency Hotel
309,Rio Grande,BR,73.4,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
311,Dingle,PH,75.88,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
316,Tabuk,PH,71.92,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
317,Kuching,MY,77.0,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
318,Half Moon Bay,US,73.99,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
320,Remanso,BR,83.41,overcast clouds,-9.6179,-42.0831,Hotel Mangueira
321,San Borja,BO,75.79,overcast clouds,-14.8167,-66.85,
322,Sao Pedro Do Sul,BR,77.0,broken clouds,-29.6206,-54.1789,Sítio Hotel e Eventos
327,Fomboni,KM,84.0,overcast clouds,-12.28,43.7425,Relais Singani
329,Gunjur,GM,71.6,clear sky,13.2019,-16.7339,Kuba Lodge
330,Ternate,ID,78.51,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
331,Islampur,IN,72.86,clear sky,26.2667,88.2,Circuit House
332,Nambutalai,IN,81.9,scattered clouds,9.7167,79.0,Avadiyan Pond
335,Itacarambi,BR,81.57,scattered clouds,-15.1022,-44.0919,POUSADA CAMALEÃO
339,Isangel,VU,78.8,scattered clouds,-19.55,169.2667,Volcano Sea View Tree House
340,Tecoanapa,MX,85.87,clear sky,16.5167,-98.75,Hotel Manglares
343,Daru,PG,80.15,overcast clouds,-9.0763,143.2092,Daru Lodge
346,Kirakira,SB,81.43,broken clouds,-10.4544,161.9205,SanBiz Lodge
347,Ishigaki,JP,75.2,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
351,Lodja,CD,71.85,light rain,-3.4833,23.4333,
353,Faanui,PF,82.62,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
357,Tautira,PF,86.0,light rain,-17.7333,-149.15,Pension Oaoa
363,Trairi,BR,77.56,clear sky,-3.2778,-39.2689,janelas do mar
366,Muncar,ID,75.83,light rain,-8.4333,114.3333,Zaky Homestay
368,Alipur,PK,83.21,broken clouds,29.3846,70.9116,"Green City Executive 1 Alipur, Muzaffargarh"
370,Puerto Maldonado,PE,73.53,heavy intensity rain,-12.6,-69.1833,Wasai Hotel
371,Akyab,MM,78.28,overcast clouds,20.15,92.9,Hotel Memory
373,Acapulco,MX,86.0,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
376,Caravelas,BR,78.84,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
380,Nokaneng,BW,75.07,broken clouds,-19.6667,22.2667,
383,Merauke,ID,76.1,overcast clouds,-8.4667,140.3333,PC
384,Tanout,NE,72.64,clear sky,14.9709,8.8879,
386,Beawar,IN,81.1,clear sky,26.1,74.3167,HL Palace Beawar
387,Tura,IN,71.53,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
388,Naliya,IN,75.94,clear sky,23.2667,68.8333,Hotel Panchvati
390,Beruwala,LK,76.15,overcast clouds,6.4788,79.9828,The Palms Hotel
391,Maceio,BR,77.0,broken clouds,-9.6658,-35.7353,Poutur Pousada
394,Natal,BR,84.2,light rain,-5.795,-35.2094,Villa Park Hotel | Natal
395,Mitsamiouli,KM,83.05,scattered clouds,-11.3847,43.2844,Foyer ADM
404,Sechura,PE,80.17,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
405,Itarema,BR,77.95,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
411,The Valley,AI,80.6,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
413,San-Pedro,CI,77.14,light rain,4.7485,-6.6363,Hotel Maria
414,Port Blair,IN,80.74,broken clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
415,Libenge,CD,77.47,scattered clouds,3.65,18.6333,
418,Santa Cruz Cabralia,BR,80.6,few clouds,-16.2781,-39.0247,Portobali Hotel
422,Garowe,SO,75.11,broken clouds,8.4054,48.4845,Curubo Hotel
423,Vilhena,BR,84.2,scattered clouds,-12.7406,-60.1458,Hotel Mirage
424,Labuhan,ID,77.52,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
431,Buala,SB,82.47,light rain,-8.145,159.5921,Maringe Lagoon Lodge
435,Dafeng,CN,72.3,scattered clouds,23.4517,108.5881,Shenglong Hotel
437,Trinidad,BO,77.0,broken clouds,-14.8333,-64.9,Hotel Piesta
441,Malakal,SS,86.59,clear sky,9.5334,31.6605,Nile Palace Hotel
445,Katherine,AU,73.4,overcast clouds,-14.4667,132.2667,Pine Tree Motel
446,Tual,ID,83.55,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
448,Chhindwara,IN,79.09,clear sky,22.0667,78.9333,STARiHOTELS Chhindwara
449,Trat,TH,82.0,overcast clouds,12.5,102.5,สวนหนิง-อัศ
450,Kawalu,ID,72.07,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
452,Antalaha,MG,76.37,light rain,-14.9003,50.2788,Hotel Vitasoa
453,Cururupu,BR,75.63,scattered clouds,-1.8283,-44.8683,Pousada Través'cia
455,Saucillo,MX,74.57,clear sky,28.0167,-105.2833,Hotel La Posada de San Judas Tadeo
457,Nisia Floresta,BR,84.2,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
459,Pandan,PH,78.19,overcast clouds,14.0453,124.1694,Bonifacio Lodge
461,Emerald,AU,71.6,scattered clouds,-23.5333,148.1667,The Irish Village
466,Harper,LR,79.27,scattered clouds,4.375,-7.7169,Screensaver
471,Aloleng,PH,79.23,broken clouds,16.1307,119.7824,Agno Umbrella Rocks
473,Prabumulih,ID,73.06,overcast clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
476,Dourbali,TD,82.54,clear sky,11.8091,15.8632,
479,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
481,Manta,EC,80.6,scattered clouds,-0.95,-80.7333,Balandra Hotel
482,Isiro,CD,75.45,overcast clouds,2.7739,27.616,Guest House Hewa Bora
483,Santo Angelo,BR,73.99,broken clouds,-28.2992,-54.2631,Hotel Nova Esperança Aberto 24h
487,Fallon,US,72.0,clear sky,39.4735,-118.7774,Best Western Fallon Inn & Suites
