City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
158,Khatanga,RU,71.9667,102.5,-3.06,98,100,6.46,overcast clouds
159,Milazzo,IT,38.2212,15.2383,55.0,74,0,1.99,clear sky
160,Castro,BR,-24.7911,-50.0119,68.29,88,100,4.29,overcast clouds
161,Paamiut,GL,61.994,-49.6678,14.47,70,0,17.96,clear sky
162,Esperance,AU,-33.8667,121.9,62.6,94,0,10.36,clear sky
163,Griffith,US,41.5284,-87.4237,50.0,37,90,19.57,overcast clouds
164,Hualmay,PE,-11.0964,-77.6139,73.58,75,77,9.64,broken clouds
165,Carutapera,BR,-1.195,-46.02,77.72,88,88,6.78,overcast clouds
166,Myre,NO,69.1036,15.9492,35.6,69,95,16.11,overcast clouds
167,Provideniya,RU,64.3833,-173.3,12.81,91,100,21.07,light snow
168,Kloulklubed,PW,7.0419,134.2556,77.0,94,75,5.75,broken clouds
169,Norman Wells,CA,65.282,-126.8329,-0.4,55,75,18.41,broken clouds
170,Cananeia,BR,-25.0147,-47.9267,77.86,89,92,4.72,overcast clouds
171,Pisco,PE,-13.7,-76.2167,75.2,60,0,23.02,clear sky
172,Cairns,AU,-16.9167,145.7667,78.8,73,75,10.36,broken clouds
173,Kushmurun,KZ,52.4503,64.6311,14.76,92,17,7.92,few clouds
174,Port-Gentil,GA,-0.7193,8.7815,80.6,89,20,8.05,moderate rain
175,Kazachinskoye,RU,57.6953,93.2761,31.53,97,100,5.82,light snow
176,Bangkalan,ID,-7.0455,112.7351,78.8,94,20,4.61,haze
177,Mananjary,MG,-21.2167,48.3333,75.85,88,2,3.71,clear sky
178,Praya,CV,14.9215,-23.5087,68.0,77,20,23.02,few clouds
179,Katsuura,JP,35.1333,140.3,60.8,94,75,12.66,broken clouds
180,Preobrazheniye,RU,42.9019,133.9064,37.87,96,99,3.89,overcast clouds
181,Chaman,PK,30.9236,66.4512,67.87,23,47,0.83,scattered clouds
182,Sirohi,IN,24.8833,72.8667,77.29,23,6,6.15,clear sky
183,Alto Piquiri,BR,-24.0281,-53.4406,78.19,74,24,6.8,few clouds
184,Mugur-Aksy,RU,50.35,90.5,23.76,88,86,3.38,overcast clouds
185,Carnarvon,AU,-24.8667,113.6333,69.8,94,0,3.44,clear sky
186,Ust-Omchug,RU,61.15,149.6333,-0.62,98,100,1.32,overcast clouds
187,Namyslow,PL,51.0759,17.7228,46.0,58,99,7.36,overcast clouds
188,Dubbo,AU,-32.25,148.6167,51.8,87,42,4.61,scattered clouds
189,Urumqi,CN,43.801,87.6005,48.2,76,90,2.24,overcast clouds
190,Podyuga,RU,61.095,40.8647,23.43,94,86,4.72,overcast clouds
191,Halifax,CA,44.6453,-63.5724,34.0,93,90,13.8,overcast clouds
192,Kaduqli,SD,11.0167,29.7167,79.39,12,0,13.53,clear sky
193,Moron,AR,-34.6534,-58.6198,73.99,68,20,5.75,few clouds
194,San Patricio,US,28.017,-97.5169,68.0,52,90,19.57,overcast clouds
195,Avera,US,33.194,-82.5271,64.99,89,90,4.61,light rain
196,Bagdarin,RU,54.4333,113.6,4.93,92,17,3.87,few clouds
197,General Roca,AR,-39.0333,-67.5833,80.6,19,0,2.3,clear sky
198,Sola,VU,-13.8833,167.55,80.6,94,90,5.75,overcast clouds
199,Rahimatpur,IN,17.6,74.2,77.11,53,39,4.88,scattered clouds
200,Pryozerne,UA,45.2698,36.3303,44.1,77,15,9.17,few clouds
201,Savannah Bight,HN,16.45,-85.85,86.0,54,40,10.36,scattered clouds
202,Padang,ID,-0.9492,100.3543,75.2,94,40,1.14,moderate rain
203,Tazmalt,DZ,36.3868,4.3989,62.49,39,100,2.62,overcast clouds
204,Ahipara,NZ,-35.1667,173.1667,68.81,89,60,6.98,light rain
205,Cidreira,BR,-30.1811,-50.2056,76.71,77,48,4.43,scattered clouds
206,Imbituba,BR,-28.24,-48.6703,80.6,78,75,8.05,broken clouds
207,Christchurch,NZ,-43.5333,172.6333,66.2,63,26,3.44,scattered clouds
208,Okitipupa,NG,6.5047,4.7839,77.97,89,0,2.86,clear sky
209,Souillac,MU,-20.5167,57.5167,75.2,88,20,5.75,few clouds
210,Sisimiut,GL,66.9395,-53.6735,2.07,70,25,7.45,scattered clouds
211,Altoona,US,40.5187,-78.3947,53.6,76,90,17.27,overcast clouds
212,Pangkalanbuun,ID,-2.6833,111.6167,74.14,97,92,0.49,overcast clouds
213,Shaikhpura,IN,25.15,85.85,77.11,17,0,4.9,clear sky
214,Saint-Gedeon,CA,48.5001,-71.7658,32.0,93,100,20.71,snow
215,Clyde River,CA,70.4692,-68.5914,-4.0,84,90,9.22,overcast clouds
216,Rio Gallegos,AR,-51.6226,-69.2181,60.8,25,0,6.91,clear sky
217,Bonthe,SL,7.5264,-12.505,79.48,84,36,7.65,scattered clouds
218,Mount Gambier,AU,-37.8333,140.7667,55.4,100,75,2.68,broken clouds
219,Inuvik,CA,68.3499,-133.7218,-7.6,59,88,6.91,overcast clouds
220,Fez,MA,34.0372,-4.9998,59.0,72,40,4.61,scattered clouds
221,Marinhas,PT,41.5591,-8.783,64.0,63,0,7.23,clear sky
222,Lanigan,CA,51.8501,-105.0344,62.6,23,17,8.05,few clouds
223,Faya,SA,18.3851,42.4509,62.6,67,0,4.61,clear sky
224,Clemencia,CO,10.5665,-75.325,91.4,52,20,14.97,few clouds
225,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,81.07,93,52,0.63,broken clouds
226,Huejuquilla El Alto,MX,22.6,-103.8667,85.28,5,21,2.13,few clouds
227,Cape Town,ZA,-33.9258,18.4232,66.99,68,0,9.22,clear sky
228,Saquarema,BR,-22.92,-42.5103,84.2,83,0,8.05,clear sky
229,Nhulunbuy,AU,-12.2333,136.7667,77.0,88,90,21.85,light rain
230,Temirtau,KZ,50.0544,72.9483,28.4,86,90,20.13,light snow
231,Laguna,US,38.421,-121.4238,80.01,25,1,3.38,clear sky
232,Cuenca,EC,-2.8833,-78.9833,68.0,56,75,11.5,light rain
233,Qandala,SO,11.472,49.8728,81.03,57,4,3.69,clear sky
234,Lichtenburg,ZA,-26.152,26.1597,63.81,38,34,4.34,scattered clouds
235,Daman,IN,20.4167,72.85,79.75,60,7,5.46,clear sky
236,Zhanaozen,KZ,43.3,52.8,37.96,89,19,10.11,few clouds
237,Krasnik,PL,50.9236,22.2271,41.0,80,0,4.61,clear sky
238,Shetpe,KZ,44.1667,52.1167,41.09,77,100,13.04,overcast clouds
239,Aljezur,PT,37.3191,-8.8033,59.0,83,100,7.94,overcast clouds
240,Portland,US,45.5234,-122.6762,51.8,62,90,19.57,light rain
241,Davila,PH,18.4726,120.5763,73.4,94,20,3.44,few clouds
242,Riviere-Au-Renard,CA,48.9957,-64.3971,28.4,64,90,11.5,overcast clouds
243,Cherskiy,RU,68.75,161.3,-6.77,90,100,1.21,overcast clouds
244,Maloy,NO,61.9353,5.1136,43.0,81,75,23.02,broken clouds
245,Olga,RU,43.7444,135.2892,35.33,95,100,7.87,overcast clouds
246,Coahuayana,MX,18.7333,-103.6833,82.4,51,75,11.5,broken clouds
247,Saint-Louis,SN,16.3333,-15.0,95.0,28,0,2.3,clear sky
248,Lubu,CN,23.1742,112.2809,75.99,99,14,2.28,few clouds
249,Nishihara,JP,26.1842,127.7558,69.8,94,75,2.3,mist
250,Komsomolskiy,UZ,40.4272,71.7189,51.8,82,75,6.91,moderate rain
251,Saskylakh,RU,71.9167,114.0833,-5.1,99,98,2.42,overcast clouds
252,Klaksvik,FO,62.2266,-6.589,41.0,81,75,13.8,broken clouds
253,Tokmak,UA,47.2514,35.7058,46.94,65,93,3.74,overcast clouds
254,Namibe,AO,-15.1961,12.1522,74.07,74,41,3.13,light rain
255,Coos Bay,US,43.3665,-124.2179,50.0,81,90,14.97,overcast clouds
256,Talara,PE,-4.5772,-81.2719,87.8,48,0,13.8,clear sky
257,Kristiansund,NO,63.1115,7.732,42.8,70,75,6.91,broken clouds
258,Haines Junction,CA,60.7522,-137.5108,24.8,26,7,6.91,clear sky
259,Lakes Entrance,AU,-37.8811,147.981,57.0,88,47,1.01,scattered clouds
260,Izhma,RU,65.0083,53.9113,33.17,97,100,6.33,overcast clouds
261,Miandrivazo,MG,-19.5167,45.4667,74.59,81,0,1.45,clear sky
262,Bandarbeyla,SO,9.4942,50.8122,78.08,73,18,6.22,few clouds
263,Oktyabrskoye,RU,43.0645,44.7417,39.2,87,100,11.18,overcast clouds
264,Suntar,RU,62.1444,117.6319,0.27,99,85,3.11,overcast clouds
265,Vegreville,CA,53.5001,-112.0518,53.6,35,100,3.44,overcast clouds
266,Alta Floresta,BR,-9.8756,-56.0861,84.2,70,75,3.44,broken clouds
267,Mongar,BT,27.2747,91.2396,49.44,40,0,6.64,clear sky
268,Bom Jardim,BR,-7.7958,-35.5872,75.2,88,75,7.43,broken clouds
269,Sassandra,CI,4.95,-6.0833,77.18,90,100,5.7,overcast clouds
270,Tukrah,LY,32.5341,20.5791,55.53,71,96,8.48,overcast clouds
271,Puerto Colombia,CO,10.9878,-74.9547,87.8,58,20,14.97,few clouds
272,Tela,HN,15.7833,-87.45,87.8,79,40,13.8,scattered clouds
273,Pointe Michel,DM,15.25,-61.3833,82.4,65,75,8.05,broken clouds
274,Belyy Yar,RU,53.6039,91.3903,28.4,93,99,4.47,mist
275,Biak,ID,-0.9131,122.8766,75.88,89,100,7.27,moderate rain
276,Namatanai,PG,-3.6667,152.4333,80.4,77,73,8.14,broken clouds
277,Mpanda,TZ,-6.3655,31.0409,64.74,94,65,0.51,light rain
278,Puebloviejo,CO,10.9938,-74.2844,95.0,59,64,18.99,broken clouds
279,Disna,BY,55.568,28.1971,36.93,84,96,5.7,overcast clouds
280,Bubaque,GW,11.2833,-15.8333,75.72,72,0,16.82,clear sky
281,Freeport,US,40.6576,-73.5832,55.99,94,90,17.27,mist
282,Pangnirtung,CA,66.1451,-65.7125,3.2,72,90,4.18,overcast clouds
283,Terrace,CA,54.5163,-128.6035,41.0,56,75,11.5,light snow
284,Sistranda,NO,63.7256,8.834,42.8,81,75,12.66,broken clouds
285,San Juan,AR,-31.5375,-68.5364,79.32,16,0,6.04,clear sky
286,Lompoc,US,34.6391,-120.4579,73.0,63,0,16.11,clear sky
287,Sapulpa,US,35.9987,-96.1142,66.2,27,1,7.38,clear sky
288,Hervey Bay,AU,-25.2986,152.8535,70.0,81,100,1.01,overcast clouds
289,Anton Lizardo,MX,19.05,-95.9833,84.99,70,75,23.02,broken clouds
290,Svetlogorsk,BY,52.6333,29.7333,38.98,96,100,8.97,overcast clouds
291,Udala,ES,43.0778,-2.5125,60.01,76,0,3.44,clear sky
292,Severo-Yeniseyskiy,RU,60.3725,93.0408,11.95,98,100,0.76,overcast clouds
293,Jinchang,CN,38.4953,102.1739,40.77,39,4,1.88,clear sky
294,Saint-Philippe,RE,-21.3585,55.7679,77.0,78,0,6.91,clear sky
295,Camacupa,AO,-12.0167,17.4833,63.37,91,100,1.48,overcast clouds
296,Bambous Virieux,MU,-20.3428,57.7575,77.0,88,20,5.75,few clouds
297,Enzan,JP,35.7,138.7333,55.0,97,23,2.66,few clouds
298,Tsagan Aman,RU,47.5639,46.7218,41.0,88,100,1.99,overcast clouds
299,Guerrero Negro,MX,27.9769,-114.0611,83.08,18,22,11.36,few clouds
300,Cervo,ES,43.6702,-7.4101,51.01,87,0,7.4,clear sky
301,Okhotsk,RU,59.3833,143.3,-2.36,95,50,6.17,scattered clouds
302,Chulman,RU,56.8479,124.9104,19.85,96,100,3.13,snow
303,Georgetown,MY,5.4112,100.3354,80.01,94,20,4.27,few clouds
304,Goderich,CA,43.7501,-81.7165,35.6,93,100,18.41,overcast clouds
305,Yanam,IN,16.7333,82.2167,74.05,93,3,1.59,clear sky
306,Shingu,JP,33.7333,135.9833,52.45,86,0,7.99,clear sky
307,La Paz Centro,NI,12.34,-86.6753,95.0,46,20,13.8,few clouds
308,Chuy,UY,-33.6971,-53.4616,68.77,84,82,4.12,broken clouds
309,Rio Grande,BR,-32.035,-52.0986,73.4,88,75,11.5,broken clouds
310,Gimli,CA,50.6336,-96.9907,35.6,60,100,14.97,overcast clouds
311,Dingle,PH,10.9995,122.6711,75.88,90,100,6.2,overcast clouds
312,Tuatapere,NZ,-46.1333,167.6833,57.0,99,97,4.0,overcast clouds
313,Ust-Kulom,RU,61.6864,53.6902,30.87,92,100,7.83,overcast clouds
314,Puerto Del Rosario,ES,28.5004,-13.8627,68.0,68,20,9.22,few clouds
315,Iroquois,US,40.7506,-87.8334,44.01,46,99,11.01,overcast clouds
316,Tabuk,PH,17.4189,121.4443,71.92,94,66,1.7,broken clouds
317,Kuching,MY,1.55,110.3333,77.0,100,40,2.3,scattered clouds
318,Half Moon Bay,US,37.4636,-122.4286,73.99,87,1,14.97,clear sky
319,Camacha,PT,33.0833,-16.3333,62.6,82,20,15.35,few clouds
320,Remanso,BR,-9.6179,-42.0831,83.41,46,100,1.3,overcast clouds
321,San Borja,BO,-14.8167,-66.85,75.79,80,100,4.59,overcast clouds
322,Sao Pedro Do Sul,BR,-29.6206,-54.1789,77.0,69,75,9.22,broken clouds
323,Boguchany,RU,58.3814,97.4531,27.93,98,100,3.02,light snow
324,Alexandria,EG,31.2156,29.9553,59.0,55,40,12.66,scattered clouds
325,Vardo,NO,70.3705,31.1107,30.2,86,20,13.8,few clouds
326,Yar-Sale,RU,66.8333,70.8333,-13.63,99,17,8.84,few clouds
327,Fomboni,KM,-12.28,43.7425,84.0,70,98,7.07,overcast clouds
328,Riyadh,SA,24.6877,46.7219,64.4,19,0,9.22,clear sky
329,Gunjur,GM,13.2019,-16.7339,71.6,73,0,12.66,clear sky
330,Ternate,ID,0.8,127.4,78.51,86,100,9.89,overcast clouds
331,Islampur,IN,26.2667,88.2,72.86,15,0,5.66,clear sky
332,Nambutalai,IN,9.7167,79.0,81.9,61,50,4.7,scattered clouds
333,Portadown,GB,54.4241,-6.4412,55.4,94,90,16.11,moderate rain
334,Sao Filipe,CV,14.8961,-24.4956,69.31,75,33,15.5,scattered clouds
